state,income,year
ALABAMA,39400,2019
ALASKA,62600,2019
ARIZONA,49400,2019
ARKANSAS,35700,2019
CALIFORNIA,63300,2019
COLORADO,62600,2019
CONNECTICUT,55000,2019
DELAWARE,67100,2019
DISTRICT OF COLUMBIA,36400,2019
FLORIDA,50100,2019
GEORGIA,50500,2019
HAWAII,80800,2019
IDAHO,50500,2019
ILLINOIS,50500,2019
INDIANA,45500,2019
IOWA,48700,2019
KANSAS,46300,2019
KENTUCKY,38500,2019
LOUISIANA,38400,2019
MAINE,38000,2019
MARYLAND,67400,2019
MASSACHUSETTS,56100,2019
MICHIGAN,44700,2019
MINNESOTA,59400,2019
MISSISSIPPI,36400,2019
MISSOURI,39900,2019
MONTANA,53500,2019
NEBRASKA,53500,2019
NEVADA,52700,2019
NEW HAMPSHIRE,65200,2019
NEW JERSEY,65700,2019
NEW MEXICO,40400,2019
NEW YORK,51400,2019
NORTH CAROLINA,44900,2019
NORTH DAKOTA,50500,2019
OHIO,41600,2019
OKLAHOMA,43600,2019
OREGON,54500,2019
PENNSYLVANIA,45500,2019
RHODE ISLAND,50300,2019
SOUTH CAROLINA,44900,2019
SOUTH DAKOTA,45500,2019
TENNESSEE,42800,2019
TEXAS,52900,2019
UTAH,67500,2019
VERMONT,43000,2019
VIRGINIA,60400,2019
WASHINGTON,62600,2019
WEST VIRGINIA,37600,2019
WISCONSIN,50000,2019
WYOMING,54700,2019

ALABAMA,37500,2018
ALASKA,65100,2018
ARIZONA,52500,2018
ARKANSAS,35500,2018
CALIFORNIA,58900,2018
COLORADO,56500,2018
CONNECTICUT,55000,2018
DELAWARE,52800,2018
DISTRICT OF COLUMBIA,35500,2018
FLORIDA,47800,2018
GEORGIA,46600,2018
HAWAII,64500,2018
IDAHO,46900,2018
ILLINOIS,47600,2018
INDIANA,42900,2018
IOWA,45500,2018
KANSAS,45100,2018
KENTUCKY,35700,2018
LOUISIANA,37100,2018
MAINE,40500,2018
MARYLAND,69700,2018
MASSACHUSETTS,51400,2018
MICHIGAN,42200,2018
MINNESOTA,48600,2018
MISSISSIPPI,32600,2018
MISSOURI,41100,2018
MONTANA,49800,2018
NEBRASKA,50700,2018
NEVADA,50700,2018
NEW HAMPSHIRE,54700,2018
NEW JERSEY,61000,2018
NEW MEXICO,31700,2018
NEW YORK,45600,2018
NORTH CAROLINA,41400,2018
NORTH DAKOTA,52900,2018
OHIO,40500,2018
OKLAHOMA,40500,2018
OREGON,50100,2018
PENNSYLVANIA,46100,2018
RHODE ISLAND,41500,2018
SOUTH CAROLINA,40100,2018
SOUTH DAKOTA,47400,2018
TENNESSEE,38900,2018
TEXAS,49300,2018
UTAH,65300,2018
VERMONT,47300,2018
VIRGINIA,55700,2018
WASHINGTON,58900,2018
WEST VIRGINIA,35000,2018
WISCONSIN,48400,2018
WYOMING,51300,2018

ALABAMA,35400,2017
ALASKA,54000,2017
ARIZONA,47600,2017
ARKANSAS,35400,2017
CALIFORNIA,56600,2017
COLORADO,54500,2017
CONNECTICUT,52600,2017
DELAWARE,50600,2017
DISTRICT OF COLUMBIA,46700,2017
FLORIDA,44900,2017
GEORGIA,43400,2017
HAWAII,70800,2017
IDAHO,44500,2017
ILLINOIS,47900,2017
INDIANA,42500,2017
IOWA,43500,2017
KANSAS,44500,2017
KENTUCKY,34400,2017
LOUISIANA,34500,2017
MAINE,46500,2017
MARYLAND,62100,2017
MASSACHUSETTS,51600,2017
MICHIGAN,41000,2017
MINNESOTA,51400,2017
MISSISSIPPI,30300,2017
MISSOURI,39400,2017
MONTANA,42500,2017
NEBRASKA,51100,2017
NEVADA,48400,2017
NEW HAMPSHIRE,59300,2017
NEW JERSEY,61000,2017
NEW MEXICO,34900,2017
NEW YORK,45500,2017
NORTH CAROLINA,40100,2017
NORTH DAKOTA,56600,2017
OHIO,38900,2017
OKLAHOMA,39900,2017
OREGON,45900,2017
PENNSYLVANIA,44900,2017
RHODE ISLAND,43500,2017
SOUTH CAROLINA,39400,2017
SOUTH DAKOTA,46200,2017
TENNESSEE,37400,2017
TEXAS,48500,2017
UTAH,60700,2017
VERMONT,41600,2017
VIRGINIA,54400,2017
WASHINGTON,56800,2017
WEST VIRGINIA,30600,2017
WISCONSIN,43900,2017
WYOMING,51100,2017

ALABAMA,35300,2016
ALASKA,58600,2016
ARIZONA,45300,2016
ARKANSAS,35900,2016
CALIFORNIA,52500,2016
COLORADO,49600,2016
CONNECTICUT,55400,2016
DELAWARE,52400,2016
DISTRICT OF COLUMBIA,31200,2016
FLORIDA,42300,2016
GEORGIA,41400,2016
HAWAII,60600,2016
IDAHO,40600,2016
ILLINOIS,42300,2016
INDIANA,40300,2016
IOWA,44200,2016
KANSAS,43800,2016
KENTUCKY,32200,2016
LOUISIANA,33400,2016
MAINE,36300,2016
MARYLAND,60500,2016
MASSACHUSETTS,48400,2016
MICHIGAN,39800,2016
MINNESOTA,49000,2016
MISSISSIPPI,31100,2016
MISSOURI,36300,2016
MONTANA,36300,2016
NEBRASKA,44500,2016
NEVADA,48400,2016
NEW HAMPSHIRE,59200,2016
NEW JERSEY,59200,2016
NEW MEXICO,37600,2016
NEW YORK,43400,2016
NORTH CAROLINA,39800,2016
NORTH DAKOTA,50400,2016
OHIO,37700,2016
OKLAHOMA,38800,2016
OREGON,45300,2016
PENNSYLVANIA,40100,2016
RHODE ISLAND,32100,2016
SOUTH CAROLINA,39700,2016
SOUTH DAKOTA,43300,2016
TENNESSEE,36500,2016
TEXAS,47300,2016
UTAH,56400,2016
VERMONT,47500,2016
VIRGINIA,50400,2016
WASHINGTON,52400,2016
WEST VIRGINIA,30400,2016
WISCONSIN,43500,2016
WYOMING,49400,2016

ALABAMA,34000,2015
ALASKA,55100,2015
ARIZONA,41800,2015
ARKANSAS,34000,2015
CALIFORNIA,50100,2015
COLORADO,48100,2015
CONNECTICUT,48100,2015
DELAWARE,46000,2015
DISTRICT OF COLUMBIA,29000,2015
FLORIDA,40100,2015
GEORGIA,39500,2015
HAWAII,58500,2015
IDAHO,41100,2015
ILLINOIS,44500,2015
INDIANA,39100,2015
IOWA,43800,2015
KANSAS,42100,2015
KENTUCKY,31800,2015
LOUISIANA,34900,2015
MAINE,30600,2015
MARYLAND,60200,2015
MASSACHUSETTS,47500,2015
MICHIGAN,36400,2015
MINNESOTA,48100,2015
MISSISSIPPI,31500,2015
MISSOURI,36600,2015
MONTANA,36000,2015
NEBRASKA,45100,2015
NEVADA,44400,2015
NEW HAMPSHIRE,53100,2015
NEW JERSEY,57800,2015
NEW MEXICO,33000,2015
NEW YORK,41700,2015
NORTH CAROLINA,36100,2015
NORTH DAKOTA,42100,2015
OHIO,36400,2015
OKLAHOMA,38600,2015
OREGON,40400,2015
PENNSYLVANIA,41700,2015
RHODE ISLAND,43100,2015
SOUTH CAROLINA,35000,2015
SOUTH DAKOTA,38000,2015
TENNESSEE,34000,2015
TEXAS,44500,2015
UTAH,53700,2015
VERMONT,44900,2015
VIRGINIA,51800,2015
WASHINGTON,48400,2015
WEST VIRGINIA,32700,2015
WISCONSIN,44100,2015
WYOMING,69100,2015

ALABAMA,33700,2014
ALASKA,65500,2014
ARIZONA,40300,2014
ARKANSAS,34300,2014
CALIFORNIA,46600,2014
COLORADO,47900,2014
CONNECTICUT,48100,2014
DELAWARE,51400,2014
DISTRICT OF COLUMBIA,26800,2014
FLORIDA,39000,2014
GEORGIA,36400,2014
HAWAII,66100,2014
IDAHO,36900,2014
ILLINOIS,42400,2014
INDIANA,38700,2014
IOWA,44400,2014
KANSAS,38300,2014
KENTUCKY,30700,2014
LOUISIANA,35300,2014
MAINE,30500,2014
MARYLAND,56000,2014
MASSACHUSETTS,44100,2014
MICHIGAN,34900,2014
MINNESOTA,48400,2014
MISSISSIPPI,28200,2014
MISSOURI,34700,2014
MONTANA,35700,2014
NEBRASKA,39300,2014
NEVADA,44400,2014
NEW HAMPSHIRE,51200,2014
NEW JERSEY,58500,2014
NEW MEXICO,35500,2014
NEW YORK,41300,2014
NORTH CAROLINA,33600,2014
NORTH DAKOTA,51400,2014
OHIO,34300,2014
OKLAHOMA,41700,2014
OREGON,39700,2014
PENNSYLVANIA,40300,2014
RHODE ISLAND,40300,2014
SOUTH CAROLINA,33500,2014
SOUTH DAKOTA,42400,2014
TENNESSEE,32600,2014
TEXAS,42400,2014
UTAH,51200,2014
VERMONT,41200,2014
VIRGINIA,46400,2014
WASHINGTON,45400,2014
WEST VIRGINIA,30300,2014
WISCONSIN,40300,2014
WYOMING,52400,2014

ALABAMA,31700,2013
ALASKA,54300,2013
ARIZONA,41300,2013
ARKANSAS,33200,2013
CALIFORNIA,45300,2013
COLORADO,48200,2013
CONNECTICUT,51700,2013
DELAWARE,47900,2013
DISTRICT OF COLUMBIA,32700,2013
FLORIDA,37300,2013
GEORGIA,36300,2013
HAWAII,65700,2013
IDAHO,39400,2013
ILLINOIS,42500,2013
INDIANA,38300,2013
IOWA,41500,2013
KANSAS,42100,2013
KENTUCKY,30200,2013
LOUISIANA,33700,2013
MAINE,35400,2013
MARYLAND,56800,2013
MASSACHUSETTS,41300,2013
MICHIGAN,35700,2013
MINNESOTA,45300,2013
MISSISSIPPI,28500,2013
MISSOURI,34700,2013
MONTANA,39100,2013
NEBRASKA,42300,2013
NEVADA,42600,2013
NEW HAMPSHIRE,50400,2013
NEW JERSEY,54200,2013
NEW MEXICO,35900,2013
NEW YORK,40000,2013
NORTH CAROLINA,33800,2013
NORTH DAKOTA,46200,2013
OHIO,34800,2013
OKLAHOMA,36300,2013
OREGON,36600,2013
PENNSYLVANIA,39900,2013
RHODE ISLAND,44300,2013
SOUTH CAROLINA,33800,2013
SOUTH DAKOTA,43000,2013
TENNESSEE,32700,2013
TEXAS,41300,2013
UTAH,48400,2013
VERMONT,38300,2013
VIRGINIA,45000,2013
WASHINGTON,45300,2013
WEST VIRGINIA,30600,2013
WISCONSIN,38900,2013
WYOMING,53400,2013

ALABAMA,31600,2012
ALASKA,55600,2012
ARIZONA,39400,2012
ARKANSAS,30500,2012
CALIFORNIA,43200,2012
COLORADO,42400,2012
CONNECTICUT,48600,2012
DELAWARE,48200,2012
DISTRICT OF COLUMBIA,27400,2012
FLORIDA,36000,2012
GEORGIA,34200,2012
HAWAII,58000,2012
IDAHO,36300,2012
ILLINOIS,40400,2012
INDIANA,36200,2012
IOWA,38600,2012
KANSAS,38400,2012
KENTUCKY,28400,2012
LOUISIANA,32100,2012
MAINE,30300,2012
MARYLAND,55600,2012
MASSACHUSETTS,42200,2012
MICHIGAN,33300,2012
MINNESOTA,39300,2012
MISSISSIPPI,28900,2012
MISSOURI,33300,2012
MONTANA,30000,2012
NEBRASKA,39400,2012
NEVADA,39400,2012
NEW HAMPSHIRE,48000,2012
NEW JERSEY,51800,2012
NEW MEXICO,32600,2012
NEW YORK,38800,2012
NORTH CAROLINA,33200,2012
NORTH DAKOTA,43300,2012
OHIO,32000,2012
OKLAHOMA,33300,2012
OREGON,36800,2012
PENNSYLVANIA,37700,2012
RHODE ISLAND,40400,2012
SOUTH CAROLINA,32300,2012
SOUTH DAKOTA,39800,2012
TENNESSEE,30300,2012
TEXAS,38900,2012
UTAH,49900,2012
VERMONT,39900,2012
VIRGINIA,43500,2012
WASHINGTON,43800,2012
WEST VIRGINIA,27300,2012
WISCONSIN,36300,2012
WYOMING,46500,2012

ALABAMA,29600,2011
ALASKA,53900,2011
ARIZONA,37700,2011
ARKANSAS,30600,2011
CALIFORNIA,42800,2011
COLORADO,44200,2011
CONNECTICUT,48000,2011
DELAWARE,49600,2011
DISTRICT OF COLUMBIA,33400,2011
FLORIDA,35600,2011
GEORGIA,34600,2011
HAWAII,53500,2011
IDAHO,36700,2011
ILLINOIS,38700,2011
INDIANA,35600,2011
IOWA,38400,2011
KANSAS,35000,2011
KENTUCKY,29500,2011
LOUISIANA,31600,2011
MAINE,29700,2011
MARYLAND,51200,2011
MASSACHUSETTS,37600,2011
MICHIGAN,34200,2011
MINNESOTA,43600,2011
MISSISSIPPI,27500,2011
MISSOURI,33000,2011
MONTANA,35000,2011
NEBRASKA,39800,2011
NEVADA,44100,2011
NEW HAMPSHIRE,42800,2011
NEW JERSEY,50900,2011
NEW MEXICO,33900,2011
NEW YORK,37600,2011
NORTH CAROLINA,31600,2011
NORTH DAKOTA,46200,2011
OHIO,32600,2011
OKLAHOMA,32600,2011
OREGON,37400,2011
PENNSYLVANIA,37100,2011
RHODE ISLAND,36400,2011
SOUTH CAROLINA,31400,2011
SOUTH DAKOTA,34800,2011
TENNESSEE,30500,2011
TEXAS,37800,2011
UTAH,46100,2011
VERMONT,38500,2011
VIRGINIA,41600,2011
WASHINGTON,43800,2011
WEST VIRGINIA,27500,2011
WISCONSIN,37300,2011
WYOMING,48900,2011

ALABAMA,28300,2010
ALASKA,54000,2010
ARIZONA,37300,2010
ARKANSAS,30200,2010
CALIFORNIA,44700,2010
COLORADO,42500,2010
CONNECTICUT,48900,2010
DELAWARE,49500,2010
DISTRICT OF COLUMBIA,32200,2010
FLORIDA,36800,2010
GEORGIA,33100,2010
HAWAII,55400,2010
IDAHO,37100,2010
ILLINOIS,41300,2010
INDIANA,33300,2010
IOWA,37300,2010
KANSAS,40300,2010
KENTUCKY,28700,2010
LOUISIANA,32200,2010
MAINE,30200,2010
MARYLAND,52900,2010
MASSACHUSETTS,38300,2010
MICHIGAN,33600,2010
MINNESOTA,41300,2010
MISSISSIPPI,26700,2010
MISSOURI,32800,2010
MONTANA,32400,2010
NEBRASKA,37300,2010
NEVADA,41800,2010
NEW HAMPSHIRE,45500,2010
NEW JERSEY,50600,2010
NEW MEXICO,33700,2010
NEW YORK,39400,2010
NORTH CAROLINA,32200,2010
NORTH DAKOTA,35300,2010
OHIO,31100,2010
OKLAHOMA,35400,2010
OREGON,34500,2010
PENNSYLVANIA,35700,2010
RHODE ISLAND,30200,2010
SOUTH CAROLINA,31300,2010
SOUTH DAKOTA,35400,2010
TENNESSEE,30200,2010
TEXAS,38300,2010
UTAH,48400,2010
VERMONT,37700,2010
VIRGINIA,42900,2010
WASHINGTON,44800,2010
WEST VIRGINIA,30400,2010
WISCONSIN,38300,2010
WYOMING,48700,2010

ALABAMA,30000,2009
ALASKA,52300,2009
ARIZONA,40200,2009
ARKANSAS,32700,2009
CALIFORNIA,45300,2009
COLORADO,44000,2009
CONNECTICUT,49100,2009
DELAWARE,41700,2009
DISTRICT OF COLUMBIA,22600,2009
FLORIDA,37000,2009
GEORGIA,34800,2009
HAWAII,55000,2009
IDAHO,39800,2009
ILLINOIS,39400,2009
INDIANA,34800,2009
IOWA,40600,2009
KANSAS,38000,2009
KENTUCKY,28800,2009
LOUISIANA,32400,2009
MAINE,29900,2009
MARYLAND,54700,2009
MASSACHUSETTS,40900,2009
MICHIGAN,33500,2009
MINNESOTA,41500,2009
MISSISSIPPI,28400,2009
MISSOURI,33200,2009
MONTANA,32700,2009
NEBRASKA,40000,2009
NEVADA,45800,2009
NEW HAMPSHIRE,46000,2009
NEW JERSEY,51000,2009
NEW MEXICO,35400,2009
NEW YORK,38800,2009
NORTH CAROLINA,32200,2009
NORTH DAKOTA,41900,2009
OHIO,32000,2009
OKLAHOMA,33000,2009
OREGON,38500,2009
PENNSYLVANIA,36000,2009
RHODE ISLAND,37300,2009
SOUTH CAROLINA,32000,2009
SOUTH DAKOTA,41500,2009
TENNESSEE,30000,2009
TEXAS,38000,2009
UTAH,47200,2009
VERMONT,36100,2009
VIRGINIA,44000,2009
WASHINGTON,42600,2009
WEST VIRGINIA,28000,2009
WISCONSIN,38500,2009
WYOMING,40400,2009

ALABAMA,31800,2008
ALASKA,55200,2008
ARIZONA,43000,2008
ARKANSAS,31900,2008
CALIFORNIA,47800,2008
COLORADO,43600,2008
CONNECTICUT,51800,2008
DELAWARE,49300,2008
DISTRICT OF COLUMBIA,30100,2008
FLORIDA,40200,2008
GEORGIA,37400,2008
HAWAII,59100,2008
IDAHO,41800,2008
ILLINOIS,42800,2008
INDIANA,36700,2008
IOWA,38700,2008
KANSAS,38900,2008
KENTUCKY,29600,2008
LOUISIANA,34200,2008
MAINE,34500,2008
MARYLAND,54000,2008
MASSACHUSETTS,44800,2008
MICHIGAN,36700,2008
MINNESOTA,43800,2008
MISSISSIPPI,28900,2008
MISSOURI,35600,2008
MONTANA,32600,2008
NEBRASKA,38300,2008
NEVADA,51100,2008
NEW HAMPSHIRE,48800,2008
NEW JERSEY,54600,2008
NEW MEXICO,36200,2008
NEW YORK,40400,2008
NORTH CAROLINA,35800,2008
NORTH DAKOTA,46000,2008
OHIO,34100,2008
OKLAHOMA,35200,2008
OREGON,37200,2008
PENNSYLVANIA,38400,2008
RHODE ISLAND,35600,2008
SOUTH CAROLINA,34400,2008
SOUTH DAKOTA,39400,2008
TENNESSEE,31200,2008
TEXAS,39900,2008
UTAH,50900,2008
VERMONT,36600,2008
VIRGINIA,43800,2008
WASHINGTON,44000,2008
WEST VIRGINIA,29500,2008
WISCONSIN,44800,2008
WYOMING,48200,2008
